ACCOUNT_COID,PURPRINCIPAL
CI 0014 416263545         , 17150.9732
CI 0014 416263656         , 7787.2868
CI 0014 416266790         , 12701.1884
CI 0014 600039887         , 56008.2684
CI 0014 416265371         , 4630.7788
CI 0014 416267111         , 247.9348
CI 0014 416264946         , 1989.8928
CI 0014 416267556         , 3348.4004
CI 0014 416263397         , 3414.3456
CI 0014 416265390         , 2883.2044
CI 0014 416268523         , 5276.9612
CI 0014 416263613         , 3002.9956
CI 0014 416268587         , 506.6616
CI 0014 416269610         , 10116.6412
CI 0014 416261670         , 2667.4176
CI 0014 416263730         , 5780.0356
CI 0014 416268695         , 13608.3624
CI 0014 416267488         , 2192.8584
CI 0014 416268978         , 1542.724
CI 0014 416270655         , 4953.0644
CI 0014 416266989         , 5385.018
CI 0014 416268005         , 1656.4504
CI 0014 416268084         , 11666.4712
CI 0014 416265693         , 17776.666
CI 0014 416268553         , 494.0
CI 0014 416265686         , 2462.3772
CI 0014 416263547         , 8708.3004
CI 0014 416261604         , 1234.924
CI 0014 416268636         , 3071.0612
CI 0014 416265404         , 6841.5428
CI 0014 416268165         , 4307.6268
CI 0014 416265798         , 1483.6264
CI 0014 416263977         , 12153.8212
CI 0014 416262658         , 1611.884
CI 0014 416262531         , 4952.3652
CI 0014 600039883         , 412.9688
CI 0014 416268913         , 3370.6076
CI 0014 416265405         , 10018.0008
CI 0014 416267514         , 9882.5688
CI 0014 416270241         , 676.3924
CI 0014 416269246         , 2799.7944
CI 0014 416270026         , 10284.4796
CI 0014 416262979         , 1142.7664
CI 0014 416268213         , 3728.2788
CI 0014 416261991         , 3055.0176
CI 0014 416261246         , 1057.7224
CI 0014 416267689         , 8627.672
CI 0014 416267776         , 1820.6104
CI 0014 416260720         , 4573.1556
CI 0014 416263559         , 10009.9828
CI 0014 600039885         , 1646.54
CI 0014 416267607         , 6734.8464
CI 0014 416270133         , 3634.6848
CI 0014 416268892         , 1033.3416
CI 0014 416270491         , 2514.3992
CI 0014 416266256         , 1847.7272
CI 0014 600039886         , 858.3744
CI 0014 416268326         , 2890.622
CI 0014 416270012         , 1520.0
CI 0014 416270264         , 3800.0
CI 0014 416268033         , 593.4384
CI 0014 416269329         , 5780.0508
CI 0014 416268327         , 1928.4772
CI 0014 416261466         , 2667.22
CI 0014 416264252         , 2420.8584
CI 0014 416268833         , 8254.1624
CI 0014 416268878         , 8999.4184
CI 0014 416269337         , 7381.6292
